instance,time
0,0.507145
solution,0,2,5,9,12,17
instance,time
1,0.469196
solution,0,1,3,4,7,9
instance,time
2,1.404608
solution,1,3,5,7,10,14,17
instance,time
3,0.865112
solution,0,1,2,4,6,12,18
instance,time
4,0.536394
solution,0,1,5,6,13,19
instance,time
5,0.837615
solution,0,2,3,5,9,13,18
instance,time
6,0.606916
solution,0,2,5,12,14,17
instance,time
7,0.387554
solution,0,1,6,11,14
instance,time
8,0.554163
solution,0,1,2,3,4,9
instance,time
9,1.413726
solution,2,4,5,10,13,14,15
avg_time,0.7582429
