instance,time,solution len,solution
0,0.023818,13,2 6 10 12 14 24 26 27 28 38 39 45 48
instance,time,solution len,solution
1,0.022068,12,2 4 6 7 10 13 15 20 36 43 44 49
instance,time,solution len,solution
2,0.021241,11,2 7 12 14 15 18 19 33 37 41 44
instance,time,solution len,solution
3,0.021818,13,1 4 6 9 11 13 15 17 18 19 26 32 49
instance,time,solution len,solution
4,0.02421,11,5 6 7 8 9 11 21 27 31 35 49
instance,time,solution len,solution
5,0.020091,10,2 6 8 10 17 27 30 31 34 39
instance,time,solution len,solution
6,0.021516,11,2 4 13 16 17 21 37 38 41 42 49
instance,time,solution len,solution
7,0.022113,11,0 1 3 4 7 24 30 31 32 34 36
instance,time,solution len,solution
8,0.025012,12,0 1 3 5 6 9 11 13 16 28 43 45
instance,time,solution len,solution
9,0.024091,11,0 1 3 4 21 25 26 32 33 34 48
avg_time,0.0225978
