1,28,7207
2,28 159,5144
3,99 28 159,3549
4,167 99 28 159,2493
5,99 166 167 28 159,1812
6,160 99 166 167 28 159,1301
7,160 99 166 167 111 28 159,925
8,160 99 166 167 111 123 28 159,665
9,160 99 196 166 167 111 123 28 159,474
10,160 99 196 166 167 111 112 123 28 159,337
11,160 99 196 166 167 111 112 181 123 28 159,231
12,160 99 196 166 167 111 112 181 58 123 28 159,154
13,160 99 196 166 167 111 112 181 24 58 123 28 159,100
14,160 99 196 166 167 39 111 112 181 24 58 123 28 159,65
15,160 99 196 197 166 167 39 111 112 181 24 58 123 28 159,38
16,160 99 196 197 166 167 39 110 111 112 181 24 58 123 28 159,23
17,160 99 196 197 166 167 39 133 110 111 112 181 24 58 123 28 159,11
18,160 99 196 197 166 167 39 133 110 111 112 20 181 24 58 123 28 159,5
19,133 20 149 24 28 159 160 166 167 39 181 58 196 197 99 110 111 112 123,0
