instance,time,solution len,solution
0,1475.267569,29,7 15 16 18 31 38 39 40 50 56 57 81 85 88 89 96 102 104 106 108 114 134 137 150 154 155 166 179 196
instance,time,solution len,solution
1,1367.527587,28,0 6 7 12 14 18 19 29 35 39 42 57 64 73 79 89 90 99 101 103 119 143 145 173 176 184 192 194
instance,time,solution len,solution
2,1514.56141,27,6 15 19 33 51 53 57 61 67 78 92 93 102 107 120 129 135 136 139 140 158 176 177 179 187 197 198
instance,time,solution len,solution
3,1524.795061,28,8 9 10 29 35 37 43 55 62 69 76 78 86 91 97 101 104 105 118 136 157 160 161 167 177 191 195 199
instance,time,solution len,solution
4,1437.754378,28,1 8 14 15 24 29 40 48 51 63 67 76 78 82 90 97 100 104 105 113 120 147 158 162 171 177 183 189
instance,time,solution len,solution
5,1494.473493,28,1 13 28 33 34 40 48 50 59 65 70 80 82 102 107 118 119 120 125 128 130 145 154 155 167 170 172 194
instance,time,solution len,solution
6,1353.037255,27,0 24 28 32 38 42 51 75 90 100 102 110 116 118 133 146 149 151 153 154 160 171 177 185 191 193 199
instance,time,solution len,solution
7,1443.072636,26,0 1 6 19 26 36 38 55 65 66 68 72 87 90 116 125 128 143 146 157 163 164 174 187 189 194
instance,time,solution len,solution
8,1341.566789,28,7 17 22 23 28 29 37 45 47 53 60 63 69 78 92 93 107 115 135 145 154 170 175 179 180 186 193 199
instance,time,solution len,solution
9,1345.724295,28,8 16 18 19 20 24 25 30 48 50 53 60 69 70 79 91 92 101 108 114 137 141 156 181 187 193 194 199
avg_time,1429.7780473
avg_length,27.7
