instance,time,solution len,solution
0,0.43938,7,0 2 4 10 11 13 15
instance,time,solution len,solution
1,0.35713,7,3 4 5 7 10 14 15
instance,time,solution len,solution
2,0.287738,7,0 5 6 8 10 14 16
instance,time,solution len,solution
3,0.356038,8,3 4 5 9 10 14 15 18
instance,time,solution len,solution
4,0.322368,8,1 2 5 9 10 13 15 18
instance,time,solution len,solution
5,0.330896,8,2 7 8 11 13 16 17 19
instance,time,solution len,solution
6,0.315963,8,2 4 9 10 12 14 16 19
instance,time,solution len,solution
7,0.31621,6,0 2 5 9 12 13
instance,time,solution len,solution
8,0.376428,6,1 3 9 10 15 19
instance,time,solution len,solution
9,0.373795,6,0 2 9 12 14 16
avg_time,0.3475946
avg_nodes,7.1
